employee_id,training_date,training_type,training_outcome,location,trainer,training_duration_days,training_cost,training_program_id,training_program_name
2530,2022-12-11,External,Failed,Jamesview,Jay Ball,4,723.57,1,Technical Skills
1001,2022-09-21,Internal,Failed,Port Greg,Amanda Daniels,4,510.83,5,Customer Service
1002,2023-07-19,Internal,Failed,Brandonview,Brittany Chambers,2,582.37,2,Leadership Development
1003,2023-02-24,Internal,Incomplete,Port Briannahaven,Mark Roberson,4,777.06,1,Technical Skills
1004,2023-01-12,Internal,Completed,Knightborough,Richard Fisher,2,824.3,5,Customer Service
1005,2023-05-12,External,Passed,Bruceshire,Heather Shaffer,4,145.99,4,Communication Skills
1006,2023-05-08,Internal,Failed,Erinfort,Michael Duke,2,838.07,3,Project Management
1007,2023-05-14,External,Failed,New Christopher,Virginia Clayton DVM,2,667.32,2,Leadership Development
1008,2023-08-02,External,Incomplete,Lowemouth,Erica Maxwell,2,758.18,1,Technical Skills
1009,2022-08-21,Internal,Incomplete,Johnland,Katelyn Hartman,2,101.21,5,Customer Service
1010,2022-08-19,External,Incomplete,Lake Kimfurt,Rhonda Clark,5,332.25,4,Communication Skills
1011,2022-11-06,Internal,Completed,Smithshire,Natalie Fields,1,803.98,4,Communication Skills
1012,2023-03-28,External,Failed,Howardburgh,Theresa Martinez,3,887.08,1,Technical Skills
1013,2023-04-08,External,Incomplete,East Jessicatown,Michael Marks,2,657.85,3,Project Management
1014,2023-02-21,External,Incomplete,Watersview,Rachel Jones,2,895.49,5,Customer Service
1015,2023-05-13,External,Passed,Port Ninaland,Jennifer Olson,1,539.0,2,Leadership Development
1016,2023-04-30,External,Completed,Lake Stuartfurt,Eric Johnson,2,606.68,4,Communication Skills
1017,2022-11-14,External,Passed,Cooleybury,Joseph Mcintyre,3,265.73,1,Technical Skills
1018,2023-03-25,Internal,Incomplete,Larsonborough,Whitney Morgan DVM,2,673.29,3,Project Management
1019,2022-10-26,External,Passed,Powellland,Jon Garcia,5,436.98,3,Project Management
1020,2022-12-30,External,Passed,Chadport,Nicole Taylor,4,578.58,1,Technical Skills
1021,2023-03-10,Internal,Failed,Patrickhaven,Crystal Nelson,1,647.16,1,Technical Skills
